tahun,triwulan,PDB_harga_konstan,perubahan_harga_konstan,PDB_harga_berlaku,perubahan_harga_berlaku
2019,triwulan-1,2625180.50,-0.52,3782618.30,-0.44
2019,triwulan-2,2735414.10,4.2,3964074.70,4.8
2019,triwulan-3,2818812.70,3.05,4067358.00,2.61
2019,triwulan-4,2769748.10,-1.74,4018606.20,-1.2
2020,triwulan-1,2703027.10,-2.41,3923347.90,-2.37
2020,triwulan-2,2589769.20,-4.19,3690742.20,-5.93
2020,triwulan-3,2720481.30,5.05,3897851.90,5.61
2020,triwulan-4,2709721.70,-0.4,3931411.20,0.86
2021,triwulan-1,2684447.50,-0.93,3972769.60,1.05
2021,triwulan-2,2773067.20,3.3,4177970.80,5.17
2021,triwulan-3,2816494.70,1.57,4327358.00,3.58
2021,triwulan-4,2846068.50,1.05,4498592.40,3.96
2022,triwulan-1,2819330.40,-0.94,4508597.80,0.22
2022,triwulan-2,2924458.00,3.73,4897942.90,8.64
2022,triwulan-3,2977972.90,1.83,5066994.30,3.45
2022,triwulan-4,2988636.50,0.36,5114,91060,0.95






